CODIGO DANE,MUNICIPIO,HABITANTES
27413,Lloró,10071
27425,Medio Atrato,11107
27430,Medio Baudó,15937
27450,Medio San Juan,11001
27491,Nóvita,9250
27495,Nuquí,16911
27580,Río Iró,5682
27600,Río Quito,8585
27615,Riosucio,56126
27660,San José del Palmar,5040
27745,Sipí,3271
27787,Tadó,18199
27800,Unguía,13027
27810,Unión Panamericana,7095
41001,Neiva,370318
41006,Acevedo,25713
41013,Agrado,9082
41016,Aipe,16818
41020,Algeciras,22941
41026,Altamira,4439
41078,Baraya,8403
41132,Campoalegre,31865
41206,Colombia,7179
41244,Elías,4371
41298,Garzón,75353
41306,Gigante,25127
41319,Guadalupe,18602
41349,Hobo,7507
41357,Íquira,9497
41359,Isnos,26141
41378,La Argentina,13378
41396,La Plata,63404
41483,Nátaga,6680
41503,Oporapa,12116
41518,Paicol,6832
41524,Palermo,27322
41530,Palestina,11582
41548,Pital,14153
41551,Pitalito,130742
41615,Rivera,25544
41660,Saladoblanco,10738
41668,San Agustín,34281
41676,Santa María,10632
41770,Suaza,23102
41791,Tarqui,18016
41797,Tesalia,11102
41799,Tello,11991
41801,Teruel,8225
41807,Timaná,22428
41872,Villavieja,7357
41885,Yaguará,7951
44001,Riohacha,209488
44035,Albania,33494
44078,Barrancas,39801
44090,Dibulla,43663
44098,Distracción,14788
44110,El Molino,8178
44279,Fonseca,46232
44378,Hatonuevo,22873
44420,La Jagua del Pilar,3979
44430,Maicao,192085
44560,Manaure,96991
44650,San Juan del Cesar,51463
44847,Uribia,197327
44855,Urumita,11688
44874,Villanueva,30344
47001,Santa Marta,552391
47030,Algarrobo,17214
47053,Aracataca,42545
47058,Ariguaní,32601
47161,Cerro de San Antonio,10193
47170,Chibolo,23986
47189,Ciénaga,127494
47205,Concordia,11514
47245,El Banco,71484
47258,El Piñón,24699
47268,El Retén,21591
47288,Fundación,72280
47318,Guamal,28626
47460,Nueva Granada,21707
47541,Pedraza,9526
47545,Pijiño del Carmen,13238
47551,Pivijay,39962
47555,Plato,65641
47570,Puebloviejo,33011
47605,Remolino,12232
47660,Sabanas de San Ángel,17152
47675,Salamina,11582
47692,San Sebastián de Buenavista,21221
47703,San Zenón,12757
47707,Santa Ana,26737
47720,Santa Bárbara de Pinto,11584
47745,Sitionuevo,29905
47798,Tenerife,13846
47960,Zapayán,10884
47980,Zona Bananera,75824
50001,Villavicencio,554173
50006,Acacías,93323
50110,Barranca de Upía,6684
50124,Cabuyaro,6291
50150,Castilla la Nueva,16165
50223,Cubarral,7182
50226,Cumaral,23568
50245,El Calvario,1679
50251,El Castillo,7527
50270,El Dorado,4035
50287,Fuente de Oro,12587
50313,Granada,71725
50318,Guamal,14697
50325,Mapiripán,7271
50330,Mesetas,10598
50350,La Macarena,28508
50370,Uribe,9634
50400,Lejanías,11341
50450,Puerto Concordia,8707
50568,Puerto Gaitán,44314
50573,Puerto López,30799
50577,Puerto Lleras,10520
50590,Puerto Rico,13081
50606,Restrepo,18958
50680,San Carlos de Guaroa,13084
50683,San Juan de Arama,9007
50686,San Juanito,1263
50689,San Martín,26925
50711,Vistahermosa,17060
52001,Pasto,393009
52019,Albán,9328
52022,Aldana,7367
52036,Ancuya,8610
52051,Arboleda,8427
52079,Barbacoas,56586
52083,Belén,6306
52110,Buesaco,23935
52203,Colón,8323
52207,Consacá,13750
52210,Contadero,7242
52215,Córdoba,15490
52224,Cuaspud Carlosama,9208
52227,Cumbal,37072
52233,Cumbitara,5773
52240,Chachagüí,15316
52250,El Charco,22574
52254,El Peñol,7450
52256,El Rosario,12072
52258,El Tablón de Gómez,14273
52260,El Tambo,13821
52287,Funes,7141
52317,Guachucal,19356
52320,Guaitarilla,11335
52323,Gualmatán,7046
52352,Iles,7639
